statue,statueLabel,statueType,statueTypeLabel,height,creationYear,countryLabel,materialLabel
http://www.wikidata.org/entity/Q646012,Памятник Нидервальд,http://www.wikidata.org/entity/Q575759,военный мемориал,38.18,1883,Германия,камень
http://www.wikidata.org/entity/Q646012,Памятник Нидервальд,http://www.wikidata.org/entity/Q575759,военный мемориал,38.18,1883,Германия,бронза
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,8,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,8,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q179700,статуя,30.1,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q179700,статуя,30.1,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q15135589,место паломничества,21,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q15135589,место паломничества,26,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q15135589,место паломничества,21,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q15135589,место паломничества,26,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q1081138,памятник истории,30,1973,Россия,железобетон
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q1081138,памятник истории,30,1973,Россия,сталь
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q570116,достопримечательность,21,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q1081138,памятник истории,26,1973,Россия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q570116,достопримечательность,26,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q1081138,памятник истории,30,1973,Россия,камень
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q1081138,памятник истории,26,1973,Россия,сталь
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q570116,достопримечательность,21,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q570116,достопримечательность,26,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q1081138,памятник истории,26,1973,Россия,камень
http://www.wikidata.org/entity/Q664245,Памятник Арминию,http://www.wikidata.org/entity/Q12518,башня,28.62,1875,Германия,железо
http://www.wikidata.org/entity/Q1100798,памятник Гагарину на Ленинском проспекте,http://www.wikidata.org/entity/Q179700,статуя,30,1980,Россия,титан
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,30.1,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,30.1,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q958585,Колонна короля Сигизмунда в Варшаве,http://www.wikidata.org/entity/Q811165,памятник архитектурного наследия,22,1644,Польша,мрамор
http://www.wikidata.org/entity/Q958585,Колонна короля Сигизмунда в Варшаве,http://www.wikidata.org/entity/Q811165,памятник архитектурного наследия,22,1644,Польша,гранит
http://www.wikidata.org/entity/Q1100798,памятник Гагарину на Ленинском проспекте,http://www.wikidata.org/entity/Q179700,статуя,12.5,1980,Россия,титан
http://www.wikidata.org/entity/Q4343348,Памятник Сталину (Гори),http://www.wikidata.org/entity/Q179700,статуя,6,1952,СССР,бронза
http://www.wikidata.org/entity/Q958585,Колонна короля Сигизмунда в Варшаве,http://www.wikidata.org/entity/Q811165,памятник архитектурного наследия,22,1644,Польша,бронза
http://www.wikidata.org/entity/Q570385,Торре Монументаль,http://www.wikidata.org/entity/Q853854,часовая башня,60,1916,Аргентина,бронза
http://www.wikidata.org/entity/Q958391,Скрижали Джорджии,http://www.wikidata.org/entity/Q19860854,утраченное здание или строение,5.87,1980,США,гранит
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,8,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,8,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q4343088,Памятник Богдану Хмельницкому (Киев),http://www.wikidata.org/entity/Q860861,скульптура,1085,1888,Украина,бронза
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q15135589,место паломничества,34.2,1994,Боливия,бетон
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q570116,достопримечательность,34.2,1994,Боливия,бетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,30.1,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,30.1,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q147875,Царь-колокол,http://www.wikidata.org/entity/Q570116,достопримечательность,6.24,1733,Россия,бронза
http://www.wikidata.org/entity/Q1134365,Дублинская игла,http://www.wikidata.org/entity/Q860861,скульптура,121.2,2003,Ирландия,сталь
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,http://www.wikidata.org/entity/Q570116,достопримечательность,7.5,2,Италия,Marmo di Musso
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,http://www.wikidata.org/entity/Q570116,достопримечательность,7.5,200,Италия,Marmo di Musso
http://www.wikidata.org/entity/Q646012,Памятник Нидервальд,http://www.wikidata.org/entity/Q575759,военный мемориал,12.5,1883,Германия,камень
http://www.wikidata.org/entity/Q646012,Памятник Нидервальд,http://www.wikidata.org/entity/Q575759,военный мемориал,12.5,1883,Германия,бронза
http://www.wikidata.org/entity/Q1392190,Fahnenmonument in Halle,http://www.wikidata.org/entity/Q860861,скульптура,20,1967,Германия,железобетон
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q15135589,место паломничества,6.24,1994,Боливия,бетон
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q570116,достопримечательность,6.24,1994,Боливия,бетон
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,0.9,1989,Россия,алюминий
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,0.9,1989,Россия,гранит
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,2.3,1989,Россия,алюминий
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,2.3,1989,Россия,гранит
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,0.9,1989,Россия,бетон
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,0.9,1989,Россия,бронза
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,2.3,1989,Россия,бетон
http://www.wikidata.org/entity/Q4343195,Памятник-бюст К. Марксу,http://www.wikidata.org/entity/Q860861,скульптура,2.3,1989,Россия,бронза
http://www.wikidata.org/entity/Q540794,Мемориальный зал Чан Кайши,http://www.wikidata.org/entity/Q5003624,мемориал,76,1980,Китайская Республика (Тайвань),бетон
http://www.wikidata.org/entity/Q570385,Торре Монументаль,http://www.wikidata.org/entity/Q853854,часовая башня,60,1916,Аргентина,Бутовая кладка
http://www.wikidata.org/entity/Q1227084,Фонтан диоскуров,http://www.wikidata.org/entity/Q43483,колодец,28.94,1588,Италия,мрамор
http://www.wikidata.org/entity/Q1287997,Памятник Победителю,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,14,1928,Сербия,бронза
http://www.wikidata.org/entity/Q4343380,Памятник Татищеву,http://www.wikidata.org/entity/Q860861,скульптура,14,1998,Россия,известняк
http://www.wikidata.org/entity/Q4343380,Памятник Татищеву,http://www.wikidata.org/entity/Q860861,скульптура,14,1998,Россия,бронза
http://www.wikidata.org/entity/Q4343380,Памятник Татищеву,http://www.wikidata.org/entity/Q860861,скульптура,7.5,1998,Россия,известняк
http://www.wikidata.org/entity/Q4343380,Памятник Татищеву,http://www.wikidata.org/entity/Q860861,скульптура,7.5,1998,Россия,бронза
http://www.wikidata.org/entity/Q1287997,Памятник Победителю,http://www.wikidata.org/entity/Q358,национальный объект культурного наследия,14,1928,Сербия,бронза
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q15135589,место паломничества,8,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q15135589,место паломничества,8,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q886957,Пилигримский монумент,http://www.wikidata.org/entity/Q12518,башня,77,1910,США,декоративный гранит
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q570116,достопримечательность,8,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q570116,достопримечательность,8,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q245151,Башня Геркулеса,http://www.wikidata.org/entity/Q39715,маяк,49,100,Испания,камень
http://www.wikidata.org/entity/Q1392131,Unity Flag,http://www.wikidata.org/entity/Q1971570,флагшток,6,1990,Германия,сталь
http://www.wikidata.org/entity/Q1392131,Unity Flag,http://www.wikidata.org/entity/Q1971570,флагшток,6,1990,Германия,гранит
http://www.wikidata.org/entity/Q1392131,Unity Flag,http://www.wikidata.org/entity/Q1971570,флагшток,6,1990,Германия,ткань
http://www.wikidata.org/entity/Q4343219,Памятник Ленину (Салават),http://www.wikidata.org/entity/Q179700,статуя,16,1970,Россия,гранит
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q15135589,место паломничества,30.1,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q1392131,Unity Flag,http://www.wikidata.org/entity/Q1971570,флагшток,6,1990,Германия,стекло
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q15135589,место паломничества,30.1,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q1392131,Unity Flag,http://www.wikidata.org/entity/Q1971570,флагшток,6,1990,Германия,бетон
http://www.wikidata.org/entity/Q1392131,Unity Flag,http://www.wikidata.org/entity/Q1971570,флагшток,6,1990,Германия,бронза
http://www.wikidata.org/entity/Q245151,Башня Геркулеса,http://www.wikidata.org/entity/Q81917,оборонительная башня,49,100,Испания,камень
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q570116,достопримечательность,30.1,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q570116,достопримечательность,30.1,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q664245,Памятник Арминию,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,24.82,1875,Германия,железо
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,http://www.wikidata.org/entity/Q2293362,скульптурная группа,25,1937,Россия,нержавеющая сталь
http://www.wikidata.org/entity/Q4343223,Памятник Ленину (Харьков),http://www.wikidata.org/entity/Q21745157,уничтоженное произведение искусства,20.2,1964,Украина,гранит
http://www.wikidata.org/entity/Q4343223,Памятник Ленину (Харьков),http://www.wikidata.org/entity/Q21745157,уничтоженное произведение искусства,20.2,1964,Украина,бронза
http://www.wikidata.org/entity/Q1365951,Nike of Callimachus,http://www.wikidata.org/entity/Q179700,статуя,468,-489,Греция,мрамор
http://www.wikidata.org/entity/Q664245,Памятник Арминию,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,28.62,1875,Германия,железо
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,http://www.wikidata.org/entity/Q210272,культурное наследие,7.5,2,Италия,Marmo di Musso
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,http://www.wikidata.org/entity/Q210272,культурное наследие,7.5,200,Италия,Marmo di Musso
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,http://www.wikidata.org/entity/Q2293362,скульптурная группа,25,1937,Россия,стальной профиль
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,25,1937,Россия,нержавеющая сталь
http://www.wikidata.org/entity/Q1164948,Monument to Dante in Trento,http://www.wikidata.org/entity/Q860861,скульптура,1760,1891,Италия,бронза
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,30,1973,Россия,железобетон
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,30,1973,Россия,сталь
http://www.wikidata.org/entity/Q4343348,Памятник Сталину (Гори),http://www.wikidata.org/entity/Q179700,статуя,6,1952,Грузия,бронза
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,26,1973,Россия,железобетон
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,30,1973,Россия,камень
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,26,1973,Россия,сталь
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q3476533,монументальная скульптура,26,1973,Россия,камень
http://www.wikidata.org/entity/Q1227084,Фонтан диоскуров,http://www.wikidata.org/entity/Q659396,конная статуя,28.94,1588,Италия,мрамор
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q179700,статуя,21,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q179700,статуя,26,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q179700,статуя,21,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q179700,статуя,26,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q147875,Царь-колокол,http://www.wikidata.org/entity/Q101401,колокол,6.24,1733,Россия,бронза
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q179700,статуя,30,1973,Россия,железобетон
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q179700,статуя,30,1973,Россия,сталь
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q179700,статуя,26,1973,Россия,железобетон
http://www.wikidata.org/entity/Q4343224,Памятник Ленину,http://www.wikidata.org/entity/Q860861,скульптура,14,1971,Россия,бронза
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q179700,статуя,30,1973,Россия,камень
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q179700,статуя,26,1973,Россия,сталь
http://www.wikidata.org/entity/Q4343229,памятник Ленину у входа в Волго-Донской канал,http://www.wikidata.org/entity/Q179700,статуя,26,1973,Россия,камень
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,25,1937,Россия,стальной профиль
http://www.wikidata.org/entity/Q1188708,Denkzeichen Georg Elser,http://www.wikidata.org/entity/Q860861,скульптура,17,2011,Германия,сталь
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,21,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,26,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,21,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,26,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q245151,Башня Геркулеса,http://www.wikidata.org/entity/Q3378136,древний маяк,49,100,Испания,камень
http://www.wikidata.org/entity/Q819565,Монумент Бергера,http://www.wikidata.org/entity/Q1440300,смотровая башня,21,1902,Германия,песчаник
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q179700,статуя,34.2,1994,Боливия,бетон
http://www.wikidata.org/entity/Q5532013,Памятник Рудольфу Майстеру (Любляна),http://www.wikidata.org/entity/Q860861,скульптура,3.5,1999,Словения,бетон
http://www.wikidata.org/entity/Q5532013,Памятник Рудольфу Майстеру (Любляна),http://www.wikidata.org/entity/Q860861,скульптура,3.5,1999,Словения,бронза
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,21,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,26,1958,Колумбия,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,21,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,26,1958,Колумбия,талькохлорит
http://www.wikidata.org/entity/Q570385,Торре Монументаль,http://www.wikidata.org/entity/Q6017969,смотровая площадка,60,1916,Аргентина,бронза
http://www.wikidata.org/entity/Q804621,Balancing Act,http://www.wikidata.org/entity/Q860861,скульптура,5.7,2009,Германия,бетон
http://www.wikidata.org/entity/Q804621,Balancing Act,http://www.wikidata.org/entity/Q860861,скульптура,5.7,2009,Германия,бронза
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,34.2,1994,Боливия,бетон
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q179700,статуя,6.24,1994,Боливия,бетон
http://www.wikidata.org/entity/Q664245,Памятник Арминию,http://www.wikidata.org/entity/Q860861,скульптура,24.82,1875,Германия,железо
http://www.wikidata.org/entity/Q4343223,Памятник Ленину (Харьков),http://www.wikidata.org/entity/Q26883973,утерянная скульптура,20.2,1964,Украина,гранит
http://www.wikidata.org/entity/Q4343223,Памятник Ленину (Харьков),http://www.wikidata.org/entity/Q26883973,утерянная скульптура,20.2,1964,Украина,бронза
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q29168169,колоссальная статуя Иисуса Христа,6.24,1994,Боливия,бетон
http://www.wikidata.org/entity/Q94731,Арка Воссоединения,http://www.wikidata.org/entity/Q12277,арка,30,2001,КНДР,мрамор
http://www.wikidata.org/entity/Q664245,Памятник Арминию,http://www.wikidata.org/entity/Q860861,скульптура,28.62,1875,Германия,железо
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,34.2,1994,Боливия,бетон
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,http://www.wikidata.org/entity/Q657100,колоннада,7.5,2,Италия,Marmo di Musso
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,http://www.wikidata.org/entity/Q657100,колоннада,7.5,200,Италия,Marmo di Musso
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q179700,статуя,8,1920,Бразилия,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,http://www.wikidata.org/entity/Q179700,статуя,8,1920,Бразилия,талькохлорит
http://www.wikidata.org/entity/Q842822,Девичья башня,http://www.wikidata.org/entity/Q12518,башня,29.5,1200,Азербайджан,камень
http://www.wikidata.org/entity/Q4343223,Памятник Ленину (Харьков),http://www.wikidata.org/entity/Q179700,статуя,20.2,1964,Украина,гранит
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,6.24,1994,Боливия,бетон
http://www.wikidata.org/entity/Q4343223,Памятник Ленину (Харьков),http://www.wikidata.org/entity/Q179700,статуя,20.2,1964,Украина,бронза
http://www.wikidata.org/entity/Q664245,Памятник Арминию,http://www.wikidata.org/entity/Q12518,башня,24.82,1875,Германия,железо
http://www.wikidata.org/entity/Q570385,Торре Монументаль,http://www.wikidata.org/entity/Q6017969,смотровая площадка,60,1916,Аргентина,Бутовая кладка
http://www.wikidata.org/entity/Q2065740,Памятник мира,http://www.wikidata.org/entity/Q860861,скульптура,44,1877,США,мрамор
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q860861,скульптура,3.2,1921,Реюньон,гипс
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q860861,скульптура,3.2,1921,Реюньон,штукатурка
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q860861,скульптура,3.2,1921,Реюньон,камень
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q860861,скульптура,3.2,1921,Реюньон,бронза
http://www.wikidata.org/entity/Q2299609,монумент «Покорителям космоса»,http://www.wikidata.org/entity/Q33506,музей,110,1964,Россия,титан
http://www.wikidata.org/entity/Q2914792,Obelisk of São Paulo,http://www.wikidata.org/entity/Q321053,кенотаф,72,1955,Бразилия,мрамор
http://www.wikidata.org/entity/Q2914792,Obelisk of São Paulo,http://www.wikidata.org/entity/Q321053,кенотаф,72,1955,Бразилия,бронза
http://www.wikidata.org/entity/Q2964915,Христос Чьяпаса,http://www.wikidata.org/entity/Q21550515,cross,62,2011,Мексика,бетон
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q575759,военный мемориал,3.2,1921,Реюньон,гипс
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q575759,военный мемориал,3.2,1921,Реюньон,штукатурка
http://www.wikidata.org/entity/Q2584017,Памятник Сибелиусу,http://www.wikidata.org/entity/Q5003624,мемориал,850,1967,Финляндия,нержавеющая сталь
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q575759,военный мемориал,3.2,1921,Реюньон,камень
http://www.wikidata.org/entity/Q3205071,Душа Франции,http://www.wikidata.org/entity/Q575759,военный мемориал,3.2,1921,Реюньон,бронза
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,300,1890,Германия,мрамор
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,400,1890,Германия,мрамор
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,300,1890,Германия,гранит
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,400,1890,Германия,гранит
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,700,1890,Германия,мрамор
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,700,1890,Германия,гранит
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,300,1890,Германия,бронза
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,400,1890,Германия,бронза
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q483453,фонтан,700,1890,Германия,бронза
http://www.wikidata.org/entity/Q2778629,J.C.J. van Speijk Lighthouse,http://www.wikidata.org/entity/Q39715,маяк,28,1834,Нидерланды,кирпич
http://www.wikidata.org/entity/Q2389195,Мать-Армения,http://www.wikidata.org/entity/Q811979,сооружение,22,1967,Армения,медь
http://www.wikidata.org/entity/Q1922523,Памятник Месропу Маштоцу,http://www.wikidata.org/entity/Q2065736,культурная ценность,5.6,1962,Армения,базальт
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,300,1890,Германия,мрамор
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,400,1890,Германия,мрамор
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,300,1890,Германия,гранит
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,400,1890,Германия,гранит
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,700,1890,Германия,мрамор
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,700,1890,Германия,гранит
http://www.wikidata.org/entity/Q1601986,Родина-мать,http://www.wikidata.org/entity/Q179700,статуя,2,1959,Россия,бетон
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,300,1890,Германия,бронза
http://www.wikidata.org/entity/Q2964915,Христос Чьяпаса,http://www.wikidata.org/entity/Q21550515,cross,62,2011,Мексика,нержавеющая сталь
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,400,1890,Германия,бронза
http://www.wikidata.org/entity/Q1820909,Памятник Лессингу,http://www.wikidata.org/entity/Q179700,статуя,700,1890,Германия,бронза
http://www.wikidata.org/entity/Q1601986,Родина-мать,http://www.wikidata.org/entity/Q179700,статуя,85,1959,Россия,бетон
http://www.wikidata.org/entity/Q2177261,Тысячелетие России,http://www.wikidata.org/entity/Q2319498,памятник архитектуры,15.7,1862,Россия,бронза
http://www.wikidata.org/entity/Q2299609,монумент «Покорителям космоса»,http://www.wikidata.org/entity/Q1081138,памятник истории,110,1964,Россия,титан
http://www.wikidata.org/entity/Q2964915,Христос Чьяпаса,http://www.wikidata.org/entity/Q21550515,cross,62,2011,Мексика,алюминиевый сплав
